"","Position","year","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","artist_name","track_name"
"147",47,"1961",FALSE,0.561,0.0335,2,-29.467,1,0.0513,0.954,0.86,0.0949,0.707,119.319,164920,4,"Arthur Lyman","Yellow Bird"
"148",48,"1961",FALSE,0.493,0.244,5,-11.487,1,0.0277,0.707,0.000462,0.121,0.219,87.044,148467,3,"Timi Yuro","Hurt"
"149",49,"1961",FALSE,0.559,0.78,9,-6.597,1,0.0328,0.158,6.89e-06,0.0793,0.964,98.661,139280,4,"Ricky Nelson","Hello Mary Lou (Goodbye Heart)"
"150",50,"1961",FALSE,0.325,0.382,6,-13.324,1,0.0387,0.896,0,0.387,0.61,201.924,132307,3,"The Capris","There's a Moon Out Tonight"
"151",51,"1961",FALSE,0.348,0.615,3,-9.915,1,0.0421,0.718,1.64e-05,0.173,0.841,164.502,111120,4,"Elvis Presley","Surrender"
"152",52,"1961",FALSE,0.384,0.452,10,-8.894,1,0.0281,0.944,0.00125,0.224,0.466,84.857,123834,3,"The Paris Sisters","I Love How You Love Me"
"153",53,"1961",FALSE,0.758,0.557,5,-10.106,1,0.0453,0.607,0.000218,0.193,0.894,140.795,146053,4,"Lee Dorsey","Ya Ya"
"154",54,"1961",FALSE,0.549,0.774,10,-6.067,1,0.0686,0.95,0.000166,0.389,0.965,73.704,149400,4,"Gary U.S. Bonds","School Is Out"
"155",55,"1961",FALSE,0.494,0.512,2,-15.619,1,0.0305,0.757,0.86,0.24,0.957,86.042,158316,4,"Bob Moore & His Orchestra","Mexico"
"156",56,"1961",FALSE,0.665,0.223,1,-16.602,0,0.046,0.951,0,0.115,0.575,130.664,134627,4,"Ral Donner","You Don't Know What You've Got (Until You Lose It)"
"157",57,"1961",FALSE,0.624,0.358,1,-13.199,1,0.0342,0.752,0,0.0593,0.873,135.797,139640,4,"The Everly Brothers","Walk Right Back"
"158",58,"1961",FALSE,0.251,0.146,4,-20.004,1,0.0313,0.931,0,0.0867,0.145,102.407,142427,3,"The Lettermen","The Way You Look Tonight - 1987 Digital Remaster"
"159",59,"1961",FALSE,0.616,0.728,5,-7.365,0,0.0312,0.581,4.73e-05,0.102,0.69,139.428,153587,4,"Pat Boone","Moody River"
"160",60,"1961",FALSE,0.799,0.522,8,-9.498,1,0.284,0.616,0.87,0.0587,0.875,129.284,91373,4,"Ray Charles","One Mint Julep"
"161",61,"1961",FALSE,0.258,0.24,11,-13.093,1,0.0325,0.779,0,0.355,0.373,83.202,155507,1,"Adam Wade","Take Good Care Of Her"
"162",62,"1961",FALSE,0.432,0.452,5,-8.022,1,0.0437,0.899,0.0307,0.688,0.398,82.518,188480,4,"Carla Thomas","Gee Whiz (Look At His Eyes)"
"163",63,"1961",FALSE,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.607,118.068,180056,4,"Ben E. King","Stand By Me"
"164",64,"1961",FALSE,0.608,0.594,2,-11.86,1,0.0435,0.32,4.75e-05,0.129,0.782,125.166,174293,4,"Ben E. King","Spanish Harlem"
"165",65,"1961",FALSE,0.46,0.433,9,-17.565,0,0.0522,0.0625,2.12e-05,0.625,0.772,106.9,197867,4,"Ike & Tina Turner","It's Gonna Work Out Fine"
"166",66,"1961",FALSE,0.493,0.907,9,-7.362,1,0.0418,0.0157,0.00724,0.414,0.274,128.359,213627,4,"Echo & the Bunnymen","It's All Over Now, Baby Blue - Live, 1985"
